title
ian mcewan - the child in time
h.g. wells - the time machine
shirley jackson - we have always lived in the castle
edward gorey - the gashlycrumb tinies
raven leilani - lustre
gennarose nethercott - thistlefoot
lilly dancyger - negative space
claire mckenna - monstrous heart
saul bellow - seize the day
tarkovsky - the mirror
holly black - curse workers series
akemi dawn bowman - starfish
ruth rendell - talking to strange men
the unfortunate side effects of heartbreak and magic
miles cameron - the fall of dragons
molly greeley - the heiress
fiona grace - a killer cupcake
monica dickens - the house at world’s end
sandra cisneros - the house on mango street
alix e harrow - starling house
a.m sohma - the luckless
annie proulx - wyoming stories
r. f. kuang - the poppy war
leigh burdago - six of crows duology
carl hiaasen - skin tight
ellis peters - black is the color of my true loves heart
david roberts - alone on the ice
amy engel - the familiar dark
kimberly belle - three days missing
kate morten
c.s lewis - chronicles of narnia
mary elizabeth braddon - lady audley’s secret
poul anderson - the high crusade
willow winters
becky chambers - a closed and common orbit
anne mccaffrey - dragonriders of pern
brian froud - faeries oracle
ve schwab - the invisible life of addie larue
eileen chang - half a lifelong romance
stolen tongues
r.l. stine - the secret bedroom
elizabeth strout - olive kitteredge
helen macdonald
tana french - into the woods
the book of good farming
kathryn anne kingsley - harrow faire
the borrowers series by mary norton
e. nesbit - the railway children
jennifer weiner - big summer
john dies at the end
jennifer donnelly - a northern light
mo xiang tong xiu - mo dao zu shi
jonathan franzen - the corrections
hermann hesse - steppenwolf
ellen schreiber - vampire kisses
günter grass - the rat
patrick dewitt - french exit
brian aldiss - hothouse
"becca fitzpatrick - hush, hush"
simon sorta'
donald ray pollock - knockemstiff
mike brooks - the black coast
kate brian - private
benjamin wood - the bellwether revivals
stephen chobosky - imaginary friend
fyodor dostoyevsky - crime & punishment
emily austin - everyone in this room will someday be dead
steinbeck - of mice and men
shakespeare - a midsummer night's dream
the pallbearers club
helen hoang - the heart principle
"khan, abdul ghaffar - the frontier gandhi: my life and..."
caroline b. cooney - losing christina
holly jackson - good girls guide to murder
alan hollinghurst - the stranger’s child
j.r.r. tolkien - the lord of the rings: the two towers
sarah addison allen - other birds
steinbeck
william shakespeare - macbeth
"julliet marillier, daughter of the forest"
lloyd alexander - the arcadians
ichigo takano - orange
sergey & marina dyachenko - vita nostra
megan mccafferty - sloppy firsts
gina damico - croak
spindle’s end by robin mckinley
jorge amado - dona flor and her two husbands
iris beaglehole - accidental magic
elmore leonard - stick
becca fitzgerald - black ice
georgia byng - molly moon’s incredible book of hypnotism
stephen king - fairytale
ethel wilson - swamp angel
r m. gray - nightweaver
david guterson - snow falling on cedars
rohinton mistry - a fine balance
juliet marillier - sevenwaters trilogy
kerri maniscalco - stalking jack the ripper
christian bale - the pale blue eyes
lucy foley - the paris apartment
octavia butler - dawn
k.j sutton - fortuna sworn
timandra whitecastle - queens of the wyrd
ben bova - thx-1138
james tiptree jr aka alice seldon - the girl who was plugged in
"stefan kiesbye - your house is on fire, your children all gone"
guy gavriel kay - fionovar tapestry series
sarah dessen - saint anything
michiko aoyama
"julliet marillier, wildewood dancing"
brandon mull - fablehaven
rinsai rossetti - the girl with borrowed wings
melissa scott - death at the dionysus club
laozi - tao te ching
holton - the wisteria society of lady scoundrels
julian fellowes - belgravia
t kingfisher - nettle and bone
hiro arikawa - the traveling cat chronicles
katharine mcgee - the thousandth floor
jack london - the sea wolf
greg bear - legacy
china meville - perdido street station
madeline miller - galatea
n.k. jemisin - fifth season
sarah porter - the lost voices trilogy
f scott fitzgerald - winter dream
max porter - lanny
mark lawrence - book of the ancestor trilogy
bee ridgeway - the river of no return
hotarubi no mori e - yuki midorikawa
naomi novik - temeraire series
john w. campbell - who goes there?
adèle geras - lily
cormac mccarthy - stella maris
cassandra clare - chain of gold
james patterson - obsessed
ayn rand - the fountainhead
graham swift - waterland
the golem and the jinni
dodie smith - capture the castle
naomi krupotsky - the family
will wight - traveler's gate trilogy
**literary fiction:**
annihilation
peter høeg - miss smilla's feeling for snow
douglas coupland - gen x
elmore leonard - out of sight
albert camus - the outsider
william s. burroughs - a naked lunch
sherryl jordan - winter of fire
city of brass
the pallbearer's club
do androids dream of electric sheep
aldous huxley - the doors of perception
stephen king - 11/22/63
john saul - creature
the goldfinch - donna tartt
diana abu-jaber - the language of baklava
writers and lovers - lily king
keigo higashino - salvation of a saint
treasure island - robert louis stevenson
melissa albert - the hazel wood
nghi vo - the empress of salt and fortune
alice feeney
dervla mctiernan - the scholar
jenny han - the summer i turned pretty
robert brockway - carrier waves
karen m. mcmanus - two can keep a secret
jekyll and hyde
divergent
sharp objects - gillian flynn
michelle pavone - wakenhyrst
douglas adams - hitchhikers guide to the galaxy
paulo coehlo - the alchemist
homer - the odyssey
m.c escher - the graphic work
bret easton ellis - glamorama
"jorge luis borges - ""the library of babel"
d. h. lawrence - women in love
alix harrow - the bone shard daughter
hermann hesse - the glass bead game
jonathan strange and mr. norrell
robert greene - law of seduction
sara zarr - how to save a life
dean koontz - odd thomas
bonnie jo campbell - american salvage
steve dykman - what the bears know
toon tellegen - perhaps they knew everything
tana french - the searcher
alessandro baricco - mr gwyn
alexis schaitkin - saint x
garth nix - abhorsen
ann m martin - the main street series
patrick o'brien - aubrey/maturin novels
gloria naylor - the women of brewster place
alan watts - the way of zen
emilio salgari - sandokan
joseph fink and jeffrey cranor - welcome to night vale
naomi klein - this changes everything
stephen king - the gunslinger
lauren groff - florida
louis sachar - wayside school series
abercrombie - best served cold
v. e. schwab - invisible life of addie larue
robin wall kemmerer - braiding sweetgrass
michael faber - the book of strange new things
janice clark - the rathbones
priest (2011)
john wyndham - the day of the triffids
the last wish
de maurier - rebecca
louise penny - armand gamache mysteries
ken follet - pillars of the earth series
chevy stevens - those girls
sarah waters - the little stranger
anbara salam - belladonna
de lint - wild wood
virginia woolf - the waves
jerome k. jerome - three men in a boat
codename helene
clive barker - the hellbound heart
philip k dick - a scanner darkly
christopher moore - sacré bleu
robert aickman - cold hand in mine
china mieville - perdido street station
scarlett st clair - king of battle and blood
robert repino - mort(e): a novel
joe kelly - i kill giants
rachel caine - the great library series
beren and lúthien
ursula parrott - ex-wife
thomas ligotti - songs of a dead dreamer
james gurney - dinotopia: a land apart from time
vc andrews
tricia levenseller - vengeance if the pirate queen
david mitchell - slade house
marie lu - wildcard
amber nicole - book of azrael
hannah abigail clarke - the scapegracers
tanith lee
frogkisser! by garth nix
s.t. gibson - a dowry of blood
the selection - unknown
richard bachman aka stephen king - rage
anna quindlen - every last one
shirley jackson - we've always lived in the castle
what moves the dead
